Serial No.,GRE Score,TOEFL Score,Label
1,337,118,1
2,324,107,1
3,316,104,-1
4,322,110,1
5,314,103,-1
6,330,115,1
7,321,109,1
8,308,101,-1
9,302,102,-1
10,323,108,-1
11,325,106,-1
12,327,111,1
13,328,112,1
14,307,109,-1
15,311,104,-1
16,314,105,-1
17,317,107,-1
18,319,106,-1
19,318,110,-1
20,303,102,-1
21,312,107,-1
22,325,114,-1
23,328,116,1
24,334,119,1
25,336,119,1
26,340,120,1
27,322,109,1
28,298,98,-1
29,295,93,-1
30,310,99,-1
31,300,97,-1
32,327,103,-1
33,338,118,1
34,340,114,1
35,331,112,1
36,320,110,1
37,299,106,-1
38,300,105,-1
39,304,105,-1
40,307,108,-1
41,308,110,-1
42,316,105,-1
43,313,107,-1
44,332,117,1
45,326,113,1
46,322,110,1
47,329,114,1
48,339,119,1
49,321,110,1
50,327,111,1
51,313,98,1
52,312,100,-1
53,334,116,1
54,324,112,-1
55,322,110,-1
56,320,103,-1
57,316,102,-1
58,298,99,-1
59,300,99,-1
60,311,104,-1
61,309,100,-1
62,307,101,-1
63,304,105,-1
64,315,107,-1
65,325,111,-1
66,325,112,-1
67,327,114,-1
68,316,107,-1
69,318,109,-1
70,328,115,1
71,332,118,1
72,336,112,1
73,321,111,1
74,314,108,1
75,314,106,-1
76,329,114,-1
77,327,112,-1
78,301,99,-1
79,296,95,-1
80,294,93,-1
81,312,105,-1
82,340,120,1
83,320,110,1
84,322,115,1
85,340,115,1
86,319,103,1
87,315,106,-1
88,317,107,-1
89,314,108,-1
90,316,109,-1
91,318,106,-1
92,299,97,-1
93,298,98,-1
94,301,97,-1
95,303,99,-1
96,304,100,-1
97,306,100,-1
98,331,120,1
99,332,119,1
100,323,113,1
101,322,107,-1
102,312,105,-1
103,314,106,-1
104,317,104,-1
105,326,112,-1
106,316,110,-1
107,329,111,1
108,338,117,1
109,331,116,1
110,304,103,-1
111,305,108,-1
112,321,109,-1
113,301,107,-1
114,320,110,-1
115,311,105,-1
116,310,106,-1
117,299,102,-1
118,290,104,-1
119,296,99,-1
120,327,104,-1
121,335,117,1
122,334,119,1
123,310,106,-1
124,308,108,-1
125,301,106,-1
126,300,100,-1
127,323,113,1
128,319,112,1
129,326,112,1
130,333,118,1
131,339,114,1
132,303,105,1
133,309,105,-1
134,323,112,1
135,333,113,1
136,314,109,1
137,312,103,1
138,316,100,-1
139,326,116,1
140,318,109,1
141,329,110,1
142,332,118,1
143,331,115,1
144,340,120,1
145,325,112,1
146,320,113,1
147,315,105,1
148,326,114,1
149,339,116,1
150,311,106,1
151,334,114,1
152,332,116,1
153,321,112,1
154,324,105,1
155,326,108,1
156,312,109,1
157,315,105,-1
158,309,104,-1
159,306,106,-1
160,297,100,-1
161,315,103,-1
162,298,99,-1
163,318,109,-1
164,317,105,-1
165,329,111,1
166,322,110,1
167,302,102,-1
168,313,102,-1
169,293,97,-1
170,311,99,-1
171,312,101,-1
172,334,117,1
173,322,110,1
174,323,113,1
175,321,111,1
176,320,111,1
177,329,119,1
178,319,110,1
179,309,108,-1
180,307,102,-1
181,300,104,-1
182,305,107,-1
183,299,100,-1
184,314,110,1
185,316,106,-1
186,327,113,1
187,317,107,1
188,335,118,1
189,331,115,1
190,324,112,1
191,324,111,1
192,323,110,1
193,322,114,1
194,336,118,1
195,316,109,1
196,307,107,1
197,306,105,-1
198,310,106,-1
199,311,104,-1
200,313,107,-1
201,317,103,-1
202,315,110,-1
203,340,120,1
204,334,120,1
205,298,105,-1
206,295,99,-1
207,315,99,-1
208,310,102,-1
209,305,106,-1
210,301,104,-1
211,325,108,1
212,328,110,1
213,338,120,1
214,333,119,1
215,331,117,1
216,330,116,1
217,322,112,1
218,321,109,1
219,324,110,1
220,312,104,-1
221,313,103,1
222,316,110,1
223,324,113,1
224,308,109,-1
225,305,105,-1
226,296,99,-1
227,306,110,-1
228,312,110,-1
229,318,112,-1
230,324,111,1
231,313,104,-1
232,319,106,-1
233,312,107,-1
234,304,100,-1
235,330,113,1
236,326,111,1
237,325,112,1
238,329,114,1
239,310,104,-1
240,299,100,-1
241,296,101,-1
242,317,103,-1
243,324,115,-1
244,325,114,1
245,314,107,-1
246,328,110,1
247,316,105,-1
248,311,104,-1
249,324,110,1
250,321,111,1
251,320,104,-1
252,316,99,-1
253,318,100,-1
254,335,115,1
255,321,114,1
256,307,110,1
257,309,99,1
258,324,100,1
259,326,102,1
260,331,119,1
261,327,108,1
262,312,104,-1
263,308,103,-1
264,324,111,-1
265,325,110,1
266,313,102,-1
267,312,105,-1
268,314,107,-1
269,327,113,1
270,308,108,1
271,306,105,-1
272,299,96,-1
273,294,95,-1
274,312,99,-1
275,315,100,-1
276,322,110,1
277,329,113,1
278,320,101,-1
279,308,103,-1
280,304,102,-1
281,311,102,-1
282,317,110,1
283,312,106,1
284,321,111,1
285,340,112,1
286,331,116,1
287,336,118,1
288,324,114,1
289,314,104,1
290,313,109,1
291,307,105,-1
292,300,102,-1
293,302,99,-1
294,312,98,-1
295,316,101,-1
296,317,100,-1
297,310,107,1
298,320,120,1
299,330,114,1
300,305,112,-1
301,309,106,-1
302,319,108,-1
303,322,105,-1
304,323,107,-1
305,313,106,-1
306,321,109,-1
307,323,110,1
308,325,112,1
309,312,108,-1
310,308,110,-1
311,320,104,1
312,328,108,1
313,311,107,1
314,301,100,-1
315,305,105,-1
316,308,104,-1
317,298,101,-1
318,300,99,-1
319,324,111,1
320,327,113,1
321,317,106,1
322,323,104,-1
323,314,107,-1
324,305,102,-1
325,315,104,-1
326,326,116,1
327,299,100,-1
328,295,101,-1
329,324,112,1
330,297,96,-1
331,327,113,1
332,311,105,-1
333,308,106,1
334,319,108,-1
335,312,107,-1
336,325,111,1
337,319,110,-1
338,332,118,1
339,323,108,1
340,324,107,1
341,312,107,1
342,326,110,1
343,308,106,-1
344,305,103,-1
345,295,96,-1
346,316,98,-1
347,304,97,-1
348,299,94,-1
349,302,99,-1
350,313,101,-1
351,318,107,-1
352,325,110,-1
353,303,100,-1
354,300,102,-1
355,297,98,-1
356,317,106,-1
357,327,109,1
358,301,104,-1
359,314,105,-1
360,321,107,1
361,322,110,1
362,334,116,1
363,338,115,1
364,306,103,-1
365,313,102,1
366,330,114,1
367,320,104,-1
368,311,98,-1
369,298,92,-1
370,301,98,-1
371,310,103,-1
372,324,110,1
373,336,119,1
374,321,109,1
375,315,105,-1
376,304,101,-1
377,297,96,-1
378,290,100,-1
379,303,98,-1
380,311,99,-1
381,322,104,1
382,319,105,-1
383,324,110,1
384,300,100,-1
385,340,113,1
386,335,117,1
387,302,101,-1
388,307,105,-1
389,296,97,-1
390,320,108,1
391,314,102,-1
392,318,106,-1
393,326,112,1
394,317,104,1
395,329,111,1
396,324,110,1
397,325,107,1
398,330,116,1
399,312,103,-1
400,333,117,1
